,PROPOSE_DT,BILL_TEXT
10,2020-08-05,"제안이유 및 주요내용

경비원 등 공동주택에서 종사하는 근로자는 입주민의 갑질과 열악한 근무 형태로 인하여 어려움을 겪고 있으며, 이같은 근로환경은 공동주택 근로자를 극단적 선택으로까지 내모는 등 사회적으로 문제가 되고 있음
또한 현행 「경비업법」은 경비원이 경비업무 이외에 다른 업무를 수행하는 것을 금지하고 있으나, 공동주택에서 근무하는 경비원은 경비업무 이외에 분리수거·외곽청소 등 기타 업무를 병행하고 있어 법률이 공동주택의 현실을 제대로 반영하지 못하는 문제가 있음
이에 부당한 업무지시를 공동주택 근로자가 거부할 수 있도록 법률에 명확히 규정하는 한편, 「공동주택관리법」에 따라 근무하는 경비원의 경우에는 「경비업법」을 적용받지 않도록 예외규정을 마련하고 기타 업무의 범위를 규정토록 하는 등 공동주택에서 종사하는 근로자의 처우를 개선하고 나아가 공동주택 구성원 상호 간의 상생과 협력 도모에 이바지하려는 것임(안 제65조의2 신설 등)."
11,2020-08-05,"제안이유 및 주요내용

현행법은 감염병 등 국가 재난에 준하는 상황 또는 교육상 필요한 경우 학교에서 소속 학생을 대상으로 원격수업을 운영할 근거가 부족하다는 지적이 있음.
포스트코로나 시대의 미래교육 환경변화에 대응하며, 학생의 안전과 건강을 지키면서도 학습권을 보장하기 위한 온ㆍ오프라인 원격수업 등 다양한 학교 수업운영 방식의 변화를 고려할 때, 원격수업에 대한 명시적 근거 마련을 통해 향후 발생 가능한 법 적용상 혼란을 사전에 방지할 필요가 있음.
아울러 현재 운영 중이거나 확대 예정인 학교 밖에서 이루어지는 활동을 수업으로 인정할 수 있는 법적 근거가 미비하며, 신설되는 조항은 수업의 방법에 대해 규정하고, 기존의 조항을 ‘방법’을 제외한 ‘시간’ 기준에 따른 종류로 한정하도록 정비함(안 제24조제3항 신설)."
12,2020-08-04,"제안이유 및 주요내용

행정기관에 대한 민원인의 민원 신청 과정에서 많은 행정기관이 구비서류를 요구하고 있는 바, 이 중 각 개별 행정기관이 이미 보유중인 민원인의 개인정보에 관한 사항에 대해서도 민원인 본인으로 하여금 직접 서류를 구비해 제출하도록 하여 국민 불편과 행정력의 낭비를 초래하고 있음.
이에 민원인 본인의 신청이 있는 경우에 한해 민원처리기관으로 하여금 각 행정기관이 보유한 민원인의 개인정보를 제공받아 민원처리에 이용할 수 있도록 근거를 신설하고, 해당 정보를 보유한 기관의 장은 지체 없이 해당 정보를 민원처리기관에 제공하도록 함으로써, 민원처리에 한한 자기정보의 활용 여부를 국민이 결정할 수 있도록 보장하는 한편, 구비서류 제출·보관에 따른 국민의 불편과 사회적·경제적 비용을 최소화하고자 함(안 제10조의2 신설)."
13,2020-08-04,"제안이유 및 주요내용

경기 활성화 등 정부의 신용카드 사용 장려정책으로 인해 민간영역뿐 아니라 국세·관세·지방세·공공요금 분야로 신용카드 사용이 확대되는 추세이나, 여전히 출입국사범에 대한 범칙금 납부는 지방출입국·외국인관서에서 발부받은 납부고지서를 소지하고 은행 또는 우체국으로 직접 방문하거나 인터넷(인터넷 지로, 인터넷 뱅킹) 방식으로 부과받은 범칙금을 일시 전액 납부만 가능하여 납부자가 불편을 겪고 있는 상황임.
또한 범칙금 납부 의사가 있는 경우에도 일시 전액 납부할 경제적 능력이 없는 경우 범칙금 미납을 사유로 고발되어 전과자가 되는 사례도 발생하고 있음.
이에 납부자에게 납부 편의를 제공하고 경제적 능력 부족으로 부과받은 범칙금에 대한 일시 현금납부가 어려운 사람을 위하여 대통령령으로 정하는 납부대행기관을 통하여 신용카드, 직불카드 등으로 납부할 수 있도록 하려는 것임(안 제102조의2 신설)."
14,2020-08-04,"제안이유 및 주요내용

소방항공기의 경우 다른 국가기관의 항공기 운영과 달리 관리？운영의 주체가 소방청과 시·도 소방본부 이원체계로 운영되고 있음.
그런데 대형 산불, 응급환자 이송, 초고층 건축물 화재진압？인명구조 업무 등 소방항공서비스의 경우 물리적 범위가 시？도 경계 구분 없이 전국을 하나의 단위 즉 국가 단위체계로 운영하고 있음.
그 결과 출동 조정과 재난 현장에서 체계적인 운항관리가 이루어지지 않아 시시각각으로 변화하는 재난 상황에 능동적 대응에 한계가 있어 소방항공기 통합관제시스템 구축 필요성이 제기되고 있음.
이에 소방항공기의 안전하고 신속한 출동과 현장활동을 체계적으로 관리？조정？통제하기 위하여 소방청에 119항공운항관제실을 설치·운영 할 수 있도록 하고, 119항공대 및 119항공대원의 정의를 명확하게 규정하려는 것임(안 제2조제9호 및 제10호, 제4조제2항 및 제3항, 제12조의2 신설)."
15,2020-07-31,"제안이유 및 주요내용

최근 코로나바이러스감염증-19의 확산에 따른 개학 연기, 등교수업일 조정 등으로 인하여 원격수업에 대한 수요가 크게 증가하고 있으나, 일선 학교에서는 원격수업을 원활히 진행하기 위한 인프라가 충분히 갖추어지지 않은 경우가 많음.
앞으로도 갑작스러운 감염병 확산 등으로 원격수업에 대한 수요가 발생할 수 있는 만큼, 원격수업을 위한 기반을 갖추어 비상상황에 대비할 필요가 있음.
이에 일선 학교가 원격수업을 원활히 진행할 수 있도록 교육부장관 및 교육감이 원격수업의 기반 구축에 필요한 행정적ㆍ재정적 지원을 할 수 있는 근거를 마련함으로써, 원격수업이 필요한 상황에 적극적으로 대비하여 수업권 및 학습권을 보호하려는 것임(안 제24조제3항 신설 등)."
16,2020-07-31,"제안이유 및 주요내용

현행법은 근로자가 가족의 질병, 사고, 노령 또는 자녀의 양육으로 인하여 긴급하게 휴가를 신청하는 경우 연간 최장 10일에 대하여 가족돌봄휴가를 무급으로 허용하도록 하고 있음.
그런데 최근 코로나19 사태로 어린이집, 유치원 및 각급 학교들이 휴원과 휴교하여 자녀들을 돌보아야 하는 시간이 더 필요해진 근로자들은 상당한 어려움에 처해 있음.
또한, 코로나19 시태의 종결 시기를 예측할 수 없는 것에 비해 가족돌봄휴가의 사용방법과 기한이 제한적이고 무급휴가여서 현 상황을 대처하고 향후 재난 상황에 대비하기 위해서는 가족돌봄휴가 제도의 개선이 필요하다는 의견이 있음.
이에 가족돌봄휴가의 기간을 연간 최장 10일 무급휴가에서 15일 유급휴가로, 사용 단위를 기존 일단위에서 시간단위로 변경하고 감염병을 비롯한 재난상황 시 휴가 기간을 15일 초과하여 연장할 수 있도록 하며, 유급휴가 조치를 하는 사업주의 부담완화를 위해 고용노동부장관이 경비를 지원하도록 하려는 것임(안 제22조의2 및 제39조제2항)."
17,2020-07-31,"제안이유 및 주요내용

「부동산소유권 이전등기 등에 관한 특별조치법」은 소유권보존등기가 되어 있지 아니하거나 등기부의 기재가 실제 권리관계와 일치하지 아니하는 부동산을 용이한 절차에 의해 등기할 수 있도록 제정되어 시행예정임.
그러나 읍ㆍ면지역의 경우 동법 적용대상에 모든 토지ㆍ건물을 포함한 반면 행정시 내 동(洞) 지역의 경우는 특별법 적용대상에서 제외되는 등 입법미비에 따른 형평성 문제가 제기되고 있는 실정임.
이에 동법 적용대상에 행정시를 포함하여 행정시에 거주하는 국민들도 부동산 소유권 이전등기를 할 수 있도록 권리를 부여함으로써 정당한 소유권과 재산권을 행사할 수 있도록 하려는 것임(안 제5조제2호)."
18,2020-07-24,"제안이유

전 세계적으로 유행하고 있는 새로운 유형의 코로나바이러스에 의한 호흡기 감염질환인 코로나바이러스감염증-19로 인해 국민의 일상생활이 어려워지고, 내수경기가 위축됨에 따라 많은 국민들이 경제적 어려움에 처해 있는 상황임.
특히 아직 치료제가 개발되지 않아 현재의 경제적 위기가 언제 종식될지 알 수 없는 상황에서 국민의 기본적 생활을 보장하고, 신속한 경제위기 극복을 위해서는 현재의 「근로기준법」 등에 대해 한시적인 특별조치가 필요하며, 이에 코로나바이러스감염증-19 위기 극복을 위한 특별조치법을 마련하려는 것임.


주요내용

가. 「근로기준법」 제53조에도 불구하고 사용자는 근로자와 서면으로 합의한 경우 같은 법 제53조제1항 또는 제2항에 따라 연장된 근로시간에 더하여 1주 간에 8시간을 초과하지 아니하는 범위에서 근로시간을 추가로 연장할 수 있도록 함(안 제5조).
나. 사용자는 근로자가 신청하는 경우 취업의 장소 외에 자택 등 원하는 장소에서 근무할 수 있도록 허용하여야 하며, 이 경우 사용자는 전산장비, 프로그램 등 근무에 필요한 지원을 할 수 있도록 함(안 제7조).
다. 사용자는 사업장이 「감염병의 예방 및 관리에 관한 법률」 제49조에 따른 감염병의 예방조치로 집합이 제한되거나 금지되어 강제휴업을 하는 경우 그 휴업기간 동안 해당 근로자에게 「근로기준법」 제46조제1항에 따른 휴업수당을 지급하도록 함(안 제8조).
라. 기간제 및 파견근로자의 구직급여 수급 요건을 완화하여 「고용보험법」 제40조제1항에 따른 기준기간에 미달하더라도 코로나바이러스감염증-19로 인한 사업장의 폐쇄 등 불가피한 경영상의 이유로 근로계약이 종료되는 경우에는 기준기간 동안의 피보험 단위기간이 합산하여 180일인 것으로 보도록 함(안 제9조).
마. 근로자의 자녀가 만 8세 이하 또는 초등학교 2학년 이하로 근로자의 자녀가 다니는 초등학교ㆍ유치원ㆍ어린이집이 감염병의 예방조치로 휴교ㆍ휴업 또는 휴원 중인 경우, 「남녀고용평등과 일ㆍ가정 양립 지원에 관한 법률」 제22조의2제4항제2호에 따른 가족돌봄휴가를 모두 사용한 경우 및 재택근무를 통한 근무가 어려운 경우에는 「남녀고용평등과 일ㆍ가정 양립 지원에 관한 법률」 제22조의2제4항제2호에도 불구하고 고용노동부 장관이 정하여 고시하는 기간 동안 휴가를 사용할 수 있도록 함(안 제10조)."
19,2020-07-21,"제안이유 및 주요내용

현행법에 따르면 대학교육기관의 장 및 대학교육기관을 설치ㆍ경영하는 학교법인의 이사장(이하 “대학교육기관의 장등”이라 한다)은 교육시설의 신설ㆍ증축과 학생의 장학금 지급 및 교직원의 연구 활동 지원 등에 충당하기 위하여 필요한 적립금을 적립할 수 있도록 규정하고 있음.
그런데 최근 코로나바이러스-19 감염증의 유행으로 인해 등록금 환불 등의 사태가 불거졌지만 현행법에 따르면 적립금은 적립목적만으로 사용하도록 규정하고 있고, 대학들이 재정난을 이유로 소극적으로 대응함에 따라 적립금을 융통성 있게 사용하도록 할 필요가 있다는 주장이 제기되고 있음.
이에 대학교육기관의 장등이 「재난 및 안전관리 기본법」 제3조제1호에 따른 재난으로 인한 사유로 학생을 지원할 필요가 있는 경우에는 기존 적립금을 학생지원 목적으로 변경하여 사용할 수 있도록 함으로써 재난 시 적립금이 학생을 위해서 적절하게 사용될 수 있도록 하려는 것임(안 제32조의2 제4항 신설 등)."
20,2020-07-21,"제안이유 및 주요내용

코로나바이러스감염증-19의 장기화로 인하여 대학의 정상적인 수업 및 학교시설의 이용이 불가능한 상황임. 이런 재난 상황에서 대학은 납부한 등록금 중 일부를 학생들에게 반환해야 한다는 요구가 있음.
한편, 현행법은 각 대학에 합리적인 등록금 책정을 위하여 교직원ㆍ학생 및 관련 전문가 등으로 구성되는 등록금심의위원회를 설치ㆍ운영하도록 규정하고, 등록금심의위원회의 학생 위원이 전체 위원의 30퍼센트 이상이 되도록 규정하고 있음.
그러나 대부분의 대학의 경우 교직원 위원이 차지하는 구성비율이 높을 뿐만 아니라 학교 측이 관련 전문가의 선임권한을 가지고 있어 등록금 책정 과정에서 학생들의 의견이 충실히 반영되지 못한다는 지적이 제기되고 있음.
이에 국가는 대학이 재난으로 인하여 수업의 질적 저하 및 학교시설의 이용 제약 등이 발생할 경우 이에 필요한 재원을 긴급하게 지원하여 학생 등록금의 면제ㆍ감액 또는 환급 등에 사용할 수 있도록 하고 이를 등록금 산정 시에 반영하도록 하는 한편, 등록금심의위원회의 교직원 위원을 50퍼센트 미만으로 하고, 관련 전문가를 선임하는 경우 학교를 대표하는 측과 학생을 대표하는 측이 협의하여 추천하도록 하는 등 일부 등록금심의위원회 운영 절차를 개선함으로써 투명성을 확보하고 재난 상황을 고려한 대학 운영의 미비점을 개선하려는 것임(안 제7조의2 신설 및 제11조)."
21,2020-07-21,"제안이유 및 주요내용

최근 발생한 故최숙현 선수 사건을 비롯하여 과거 심석희 선수의 성폭행 피해 폭로 등 체육계 내의 인권침해와 갖가지 비리에 대한 고발이 꾸준히 제기되고 있음에도 불구하고, 스포츠계의 비리 및 인권침해 현실에 대한 실태조사와 이를 방지하기 위한 예방 교육이 체계적으로 이뤄지지 않았음.
이에 2020년 2월 국민체육진흥법 개정안이 발의되어 문화체육관광부 산하에 스포츠비리 및 체육계 인권침해에 대한 실태조사 및 예방교육을 담당하는 스포츠윤리센터가 설립 준비 중이나 해당 업무에 대한 법률적 근거가 미비한 상황임.
따라서 스포츠윤리센터가 “스포츠 비리 및 체육계 인권침해”에 대해 매년 실태조사를 실시하고, 문화체육관광부장관에 결과를 보고하도록 하는 법률적 근거를 마련함. 또한, 이 자료를 스포츠 비리 및 체육계 인권침해의 예방을 위한 정책 수립의 기초자료로 활용할 수 있도록 함(안 제18조의4제1항 및 제2항 신설).
나아가 예방교육의 범위를 “스포츠비리 및 인권침해”까지 확장하여 체육계에서 나타나는 다양한 형태의 스포츠 비리 및 인권침해를 예방할 수 있는 예방교육의 법률적 근거를 마련하고자 함(안 제18조의7)."
22,2020-07-21,"제안이유 및 주요내용

최근 철인3종경기 국가대표 출신 선수가 폭력과 폭언으로 인해 사망하는 사건이 발생하면서 스포츠 폭력 및 성폭력에 대한 대책과 선수 인권보호 대책마련이 시급한 상황임.
무엇보다 스포츠 인권피해 사고의 예방을 위해서는 체육지도자와 관계기관 담당자의 폭력 및 성폭력 예방교육과 함께 선수의 심리치료와 안전조치 방안에 대한 교육이 병행되어야 한다고 지적됨.
또한 해당 사건의 조사과정에서 소속기관과 선수들이 맺은 계약서에 선수들에게 불리한 독소조항들이 다수 발견되면서 체육단체 및 경기단체와 선수 간 표준계약서의 보급 필요성이 제기됨.
한편 이번에 문제가 된 실업팀 선수뿐만 아니라, 대학에 속한 운동부 선수들의 경우에도 스포츠 인권 문제가 심각한 것으로 밝혀짐. 2019년 인권위 조사결과 대학교 운동선수 응답자 4,924명 중 1,613명(33%)이 신체폭력을 경험했고, 470명(10%)이 성폭력 피해를 당했다고 답함.
하지만 현재 일부 대학에 소속된 운동선수들은 스포츠 인권교육을 전혀 받지 못하는 상황으로, 필요시 일부기관에 위탁해서라도 인권교육을 실시해야 할 것임.
이에 선수의 인권보호 차원에서 체육지도자와 스포츠윤리센터 담당 조사관은 폭력 및 성폭력 예방교육과 함께 선수의 심리치료와 안전조치방안에 대한 교육을 받고, 국가와 지자체는 체육 분야에 대한 표준계약서 체결을 보급하도록 하며, 스포츠인권옴부즈만을 설치하고, 대학 운동부의 인권교육을 위해 필요한 경우 일부 기관에 위탁하여 실시할 수 있도록 함(안 제11조 및 제18조의3부터 제18조의11까지)."
